acdc difference for Fluke 792 temelin, range 7 V;;;;
 ; gain ; u(gain) ; gain ; u(gain)
f (Hz)\U rms (V) ; 3 ; 6 ; 3 ; 6
10 ; 80.3 ; 212 ; 0.1 ; 0.1
20 ; 14.9 ; 53.1 ; 0.1 ; 0.1
30 ; 7.1 ; 22.3 ; 0.1 ; 0.1
40 ; 3.8 ; 12.9 ; 0.1 ; 0.1
55 ; 2.2 ; 6.4 ; 0.1 ; 0.1
300 ; 0.4 ; 1.2 ; 0.1 ; 0.1
1000 ; -0.2 ; 1.9 ; 0.1 ; 0.1
10000 ; 2.3 ; 5.2 ; 0.1 ; 0.1
20000 ; 4.3 ; 4 ; 0.1 ; 0.1
30000 ; 6.1 ; 5.5 ; 0.1 ; 0.1
50000 ; 7.5 ; 8.1 ; 0.1 ; 0.1
100000 ; 4.6 ; 7.8 ; 0.1 ; 0.1
300000 ; -48 ; -50.6 ; 0.1 ; 0.1
500000 ; -175.3 ; -184.5 ; 0.1 ; 0.1
1000000 ; -776.5 ; -800.5 ; 0.1 ; 0.1
